run_id,instance_id,arm,exit_status,turn_count,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,submitted,source
1,matplotlib__matplotlib-14623,control,LimitsExceeded,45,574308,25609,10986,4777,557312,12819,0,8,30,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/1.traj.json
10,matplotlib__matplotlib-14623,control,Submitted,41,502954,23718,8779,2882,486016,12612,0,8,25,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/10.traj.json
2,matplotlib__matplotlib-14623,control,ValueError,45,476982,20649,9752,3294,463872,9050,0,8,29,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/2.traj.json
3,matplotlib__matplotlib-14623,control,ValueError,45,577849,22682,10084,3380,563072,10326,0,11,24,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/3.traj.json
4,matplotlib__matplotlib-14623,control,Submitted,38,418487,19452,7630,2794,404096,10442,0,9,28,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/4.traj.json
5,matplotlib__matplotlib-14623,control,ValueError,45,611307,27592,13485,3774,594816,11646,0,9,25,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/5.traj.json
6,matplotlib__matplotlib-14623,control,Submitted,43,481256,20163,7838,2420,466688,10396,0,7,26,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/6.traj.json
7,matplotlib__matplotlib-14623,control,LimitsExceeded,45,504339,21726,10552,2992,491136,9420,0,8,22,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/7.traj.json
8,matplotlib__matplotlib-14623,control,LimitsExceeded,45,505462,21912,9394,3586,491008,11174,0,9,28,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/8.traj.json
9,matplotlib__matplotlib-14623,control,LimitsExceeded,45,392746,17617,7455,3666,380416,8701,0,18,25,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-14623/9.traj.json
10,matplotlib__matplotlib-25479,control,Submitted,69,1230985,32915,17344,10033,1213056,12444,0,17,45,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-25479/10.traj.json
5,matplotlib__matplotlib-25479,control,Submitted,65,1136528,34406,15578,7382,1114880,14257,0,9,40,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-25479/5.traj.json
6,matplotlib__matplotlib-25479,control,Submitted,61,1139503,34580,16167,6815,1119360,14110,0,7,39,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-25479/6.traj.json
7,matplotlib__matplotlib-25479,control,Submitted,45,862839,33335,16097,10260,845056,13277,0,13,43,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/control/matplotlib__matplotlib-25479/7.traj.json
1,matplotlib__matplotlib-14623,treatment,Submitted,45,846212,30656,11434,3212,824192,15194,8,8,18,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/1.traj.json
10,matplotlib__matplotlib-14623,treatment,Submitted,32,513857,24553,7785,3836,495360,14314,6,5,17,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/10.traj.json
2,matplotlib__matplotlib-14623,treatment,ValueError,45,631850,29310,13435,7318,613120,13715,3,12,29,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/2.traj.json
3,matplotlib__matplotlib-14623,treatment,ValueError,45,674231,26319,9130,4699,655104,14983,12,10,26,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/3.traj.json
4,matplotlib__matplotlib-14623,treatment,Submitted,28,435821,24315,10177,5592,419968,11460,11,3,13,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/4.traj.json
5,matplotlib__matplotlib-14623,treatment,Submitted,34,654929,30536,11985,6232,634624,14872,6,2,18,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/5.traj.json
6,matplotlib__matplotlib-14623,treatment,Submitted,32,389801,19919,8430,2681,376832,9024,4,5,16,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/6.traj.json
7,matplotlib__matplotlib-14623,treatment,LimitsExceeded,45,808558,30717,12847,5537,788480,14154,13,1,14,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/7.traj.json
8,matplotlib__matplotlib-14623,treatment,LimitsExceeded,45,569254,22004,9225,2864,554752,10122,7,10,20,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/8.traj.json
9,matplotlib__matplotlib-14623,treatment,Submitted,26,464000,28742,10662,5967,445184,14612,9,0,9,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-14623/9.traj.json
10,matplotlib__matplotlib-25479,treatment,Submitted,51,1120489,36447,15179,8620,1098112,17261,12,12,22,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/10.traj.json
3,matplotlib__matplotlib-25479,treatment,,42,904642,34596,15703,9998,884864,14732,14,8,22,False,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/3.traj.json
4,matplotlib__matplotlib-25479,treatment,Submitted,92,2812115,54075,28378,13591,2783360,19599,17,15,40,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/4.traj.json
5,matplotlib__matplotlib-25479,treatment,Submitted,56,1078502,32540,12736,6592,1056256,15258,14,8,19,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/5.traj.json
6,matplotlib__matplotlib-25479,treatment,Submitted,57,1227790,36643,14453,8091,1203200,17408,11,9,26,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/6.traj.json
9,matplotlib__matplotlib-25479,treatment,Submitted,51,942241,30822,12433,6813,922624,13727,12,3,28,True,/home/eli/projects/awesome/SourceMinder/experiment/logs/treatment/matplotlib__matplotlib-25479/9.traj.json
