run_id,instance_id,arm,exit_status,turn_count,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,submitted,source,outcome,task_success
1,django__django-13121,control,LimitsExceeded,100,2448504,58195,40969,28251,2425088,16014,0,30,51,False,experiment/logs/control/django__django-13121/1.traj.json,empty_patch,0
10,django__django-13121,control,Submitted,91,3602044,68044,39707,25593,3568512,26952,0,20,63,True,experiment/logs/control/django__django-13121/10.traj.json,resolved,1
2,django__django-13121,control,Submitted,92,2800052,68945,44199,30782,2770560,22463,0,24,59,True,experiment/logs/control/django__django-13121/2.traj.json,resolved,1
3,django__django-13121,control,Submitted,99,3317722,70737,47917,27207,3289216,20295,0,30,55,True,experiment/logs/control/django__django-13121/3.traj.json,resolved,1
4,django__django-13121,control,LimitsExceeded,100,2608085,52479,36579,23807,2586752,14174,0,34,48,False,experiment/logs/control/django__django-13121/4.traj.json,empty_patch,0
5,django__django-13121,control,Submitted,89,2323927,48592,29443,14817,2299008,17688,0,31,57,True,experiment/logs/control/django__django-13121/5.traj.json,resolved,1
6,django__django-13121,control,LimitsExceeded,100,2243337,51408,34904,22133,2220800,15553,0,25,66,False,experiment/logs/control/django__django-13121/6.traj.json,empty_patch,0
7,django__django-13121,control,LimitsExceeded,100,2752912,54937,33382,20617,2725632,20650,0,36,60,False,experiment/logs/control/django__django-13121/7.traj.json,empty_patch,0
8,django__django-13121,control,LimitsExceeded,100,2678269,56011,38355,23100,2653696,17106,0,44,45,False,experiment/logs/control/django__django-13121/8.traj.json,empty_patch,0
9,django__django-13121,control,Submitted,84,2043790,52041,28899,17793,2015104,21080,0,23,49,True,experiment/logs/control/django__django-13121/9.traj.json,resolved,1
1,matplotlib__matplotlib-14623,control,LimitsExceeded,45,574308,25609,10986,4777,557312,12819,0,8,30,False,experiment/logs/control/matplotlib__matplotlib-14623/1.traj.json,empty_patch,0
