run_id,instance_id,arm,exit_status,turn_count,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,submitted,source
1,astropy__astropy-14369,control,Submitted,31,721574,44504,14179,9515,689792,23121,0,2,21,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/1.traj.json
10,astropy__astropy-14369,control,Submitted,42,1125637,49253,21042,14427,1094912,21154,0,8,24,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/10.traj.json
2,astropy__astropy-14369,control,Submitted,56,1717634,57752,31853,25461,1689344,18820,0,10,36,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/2.traj.json
3,astropy__astropy-14369,control,Submitted,20,288680,24448,11476,8102,275072,6572,0,2,12,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/3.traj.json
4,astropy__astropy-14369,control,Submitted,48,1698293,62312,39365,33639,1673088,15561,0,8,27,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/4.traj.json
5,astropy__astropy-14369,control,Submitted,23,495665,41821,12192,9375,465408,15814,0,2,12,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/5.traj.json
6,astropy__astropy-14369,control,Submitted,35,985457,59089,22507,18051,946688,22741,0,5,20,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/6.traj.json
7,astropy__astropy-14369,control,Submitted,25,336078,26021,9055,5442,317696,12355,0,1,14,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/7.traj.json
8,astropy__astropy-14369,control,Submitted,30,602156,46974,10532,7408,564608,21388,0,3,20,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/8.traj.json
9,astropy__astropy-14369,control,Submitted,29,557962,34486,18365,15071,541056,11757,0,6,22,True,experiment/logs/deepseek--deepseek-v4-flash/control/astropy__astropy-14369/9.traj.json
10,django__django-13121,control,,13,58832,8109,2978,1517,53504,4696,0,14,11,False,experiment/logs/deepseek--deepseek-v4-flash/control/django__django-13121/10.traj.json
5,django__django-13121,control,,14,39123,5155,2352,1402,36224,2067,0,5,8,False,experiment/logs/deepseek--deepseek-v4-flash/control/django__django-13121/5.traj.json
6,django__django-13121,control,,14,46357,6452,2784,1436,42368,3977,0,8,16,False,experiment/logs/deepseek--deepseek-v4-flash/control/django__django-13121/6.traj.json
