# SourceMinder experiment sampling pool -- the fixed universe a run draws from.
# dataset: princeton-nlp/SWE-bench_Verified @ c104f840cc67f8b6eec6f759ebc8b2693d585d4a
# image_registry: docker.io/swebench (digests pin identity; images stay on Docker Hub)
# generated: 20260617_151917 by scripts/build_pool.py
# extended: 20260620_120252 +30 rows (1 nf=21 outlier, 29 nf=1) for N=25 draw
# count: 100
instance_id,repo,n_files,image,digest
astropy__astropy-13398,astropy,4,swebench/sweb.eval.x86_64.astropy_1776_astropy-13398:latest,sha256:423240067cb26131788348337e59a4d51225fd491eccab99e919c1bc4d4b02e0
astropy__astropy-14369,astropy,2,swebench/sweb.eval.x86_64.astropy_1776_astropy-14369:latest,sha256:113488bfd3a6fb9678705496c18791bf46d98ad0303a682a3d405223eb2e85c4
astropy__astropy-8707,astropy,2,swebench/sweb.eval.x86_64.astropy_1776_astropy-8707:latest,sha256:55e63ac83d4ab4a2e1e584adbd7b47f5a2fd43d131fe26d0e12103024915f13b
django__django-10554,django,2,swebench/sweb.eval.x86_64.django_1776_django-10554:latest,sha256:6fe93aa03ebb21c114775461a745e2c5645086436333fc9094aad9c357519117
django__django-11138,django,4,swebench/sweb.eval.x86_64.django_1776_django-11138:latest,sha256:dc815d469dcb8ed3f93a2a93970912c144c2125bb8e53ba1c0f6b705c38346fc
django__django-11333,django,2,swebench/sweb.eval.x86_64.django_1776_django-11333:latest,sha256:3dd97a00452a02bb9b1cd6cf5bb235f0bcb2709b3f131f5be8908a7ab2f7b2a0
django__django-11400,django,3,swebench/sweb.eval.x86_64.django_1776_django-11400:latest,sha256:435433409f08e5fce3f1385aced327baac5df8d14377b00616238729721e323a
django__django-11532,django,5,swebench/sweb.eval.x86_64.django_1776_django-11532:latest,sha256:71cca6e07b2f4a6b86822259c7a99061b0a57d12b3714c390098f9b9c461c660
django__django-11734,django,3,swebench/sweb.eval.x86_64.django_1776_django-11734:latest,sha256:44b05ec403a902fe4625cf8c557b7d7697799c0bd359d14b130a7ef0ea187a02
django__django-11885,django,2,swebench/sweb.eval.x86_64.django_1776_django-11885:latest,sha256:64252b2d2d46913926cefad964607793d8573fb8f4c756c94624102dcd128888
