instance,model,metric,n_control,n_treatment,control_median,treatment_median,effect_logratio,ci_lo,ci_hi,se,pct_change,format_tax,k,Q,I2
nodebb,claude-haiku-4-5-20251001,turn_count,5,5,107.0,103.0,-0.038099846232270404,-0.7123785424878329,0.49977578757940566,0.29259153197990007,-3.738317757009346,False,,,
openlibrary,claude-haiku-4-5-20251001,turn_count,5,5,28.0,27.0,-0.03636764417087483,-0.3184537311185346,0.22314355131420976,0.1346213552549739,-3.57142857142857,False,,,
ansible,claude-haiku-4-5-20251001,turn_count,5,5,70.0,66.0,-0.058840500022933465,-0.20972053098206903,0.23841102344499815,0.10732732335290818,-5.714285714285716,False,,,
qutebrowser,claude-haiku-4-5-20251001,turn_count,5,5,52.0,58.0,0.109199291964992,-0.2825669717850105,1.0159205728229963,0.2805732352307802,11.538461538461542,False,,,
tutanota,claude-sonnet-5,turn_count,5,5,115.0,101.0,-0.12981161152199058,-0.304776505811081,0.15415067982725836,0.12783318929121107,-12.173913043478258,False,,,
vuls,claude-haiku-4-5-20251001,turn_count,5,5,80.0,69.0,-0.1479201300766222,-0.38505623647695725,0.0,0.1095152247222875,-13.749999999999996,False,,,
element,claude-haiku-4-5-20251001,turn_count,5,5,73.0,60.0,-0.1961148789262905,-0.4165149442947494,-0.08004270767353637,0.10369981825630249,-17.808219178082197,False,,,
teleport,claude-haiku-4-5-20251001,turn_count,5,5,60.0,61.0,0.016529301951210506,-0.1568424714929697,0.30421137440299156,0.12174060511510498,1.6666666666666607,False,,,
__POOLED__,,turn_count,,,,,-0.09242763463050226,-0.18270022968145083,-0.0021550395795536803,0.0460574464545656,-8.828481481643891,,8,2.9652895738812313,0.0
nodebb,claude-haiku-4-5-20251001,total_tokens,5,5,4305036.0,3623306.0,-0.1723986314757652,-1.3962978912471122,0.774863840916565,0.44948317452161995,-15.835639934253742,False,,,
openlibrary,claude-haiku-4-5-20251001,total_tokens,5,5,462911.0,359196.0,-0.25366661047810385,-0.6182356761120018,0.42384939919499326,0.2528608627478448,-22.40495473211913,False,,,
ansible,claude-haiku-4-5-20251001,total_tokens,5,5,2037709.0,1865820.0,-0.08812550280958115,-0.39468737420602523,0.3660786182888095,0.18265329393916527,-8.435404662785507,False,,,
qutebrowser,claude-haiku-4-5-20251001,total_tokens,5,5,1552790.0,831092.0,-0.6250680931391557,-1.5238656437058336,0.18723656263675997,0.468812652375148,-46.477501787105794,False,,,
tutanota,claude-sonnet-5,total_tokens,5,5,5041811.0,4484568.0,-0.11712317313683972,-0.4766282001785146,0.18404465527294236,0.16938830649719008,-11.052437308736884,False,,,
vuls,claude-haiku-4-5-20251001,total_tokens,5,5,2118593.0,1972830.0,-0.07128312898110307,-0.5765200222310197,0.060057575411794094,0.18917347312307192,-6.880179439845213,False,,,
element,claude-haiku-4-5-20251001,total_tokens,5,5,2086668.0,1548729.0,-0.29813394087407624,-0.6511262891569596,0.010943424837420487,0.1593806406003116,-25.77980780842951,False,,,
teleport,claude-haiku-4-5-20251001,total_tokens,5,5,1276998.0,1127613.0,-0.12440900177613883,-0.3397018757869959,0.22388366228922635,0.15110606810570548,-11.698138916427435,False,,,
__POOLED__,,total_tokens,,,,,-0.16693118626071535,-0.3051540813000587,-0.028708291221371973,0.07052188522415478,-15.374215649981092,,8,2.3578907747096784,0.0
nodebb,claude-haiku-4-5-20251001,cost,5,5,0.624216,0.5438938500000001,-0.13774236317876573,-1.1769458150057486,0.6246495077729544,0.35977976686033974,-12.867685224345394,False,,,
openlibrary,claude-haiku-4-5-20251001,cost,5,5,0.1285653,0.0926529,-0.3275766936310917,-0.6130113651559325,0.11400983297457183,0.18376913651559704,-27.93319814911177,False,,,
ansible,claude-haiku-4-5-20251001,cost,5,5,0.41849735000000016,0.3538881,-0.16768979630270453,-0.5582654185539779,0.13946569477545828,0.168622804122854,-15.43838927534431,False,,,
qutebrowser,claude-haiku-4-5-20251001,cost,5,5,0.2967963500000001,0.15284625,-0.6636136991947796,-1.7464700186760949,-0.38948636269111964,0.4608640607227297,-48.50130400862411,False,,,
tutanota,claude-sonnet-5,cost,5,5,2.6821755,2.59536,-0.032902983640572744,-0.5577837242145641,0.279886264300506,0.1978776253904563,-3.236756878884328,False,,,
vuls,claude-haiku-4-5-20251001,cost,5,5,0.36088185000000006,0.3028632500000001,-0.17526923594302107,-0.5602403216018969,-0.0056088382724392115,0.1534097020519834,-16.076896081085813,False,,,
element,claude-haiku-4-5-20251001,cost,5,5,0.3297875500000001,0.25773365,-0.24652197193591185,-0.5122597291486247,-0.010214707708865444,0.1229422179315657,-21.848581003133717,False,,,
teleport,claude-haiku-4-5-20251001,cost,5,5,0.22750505,0.194872,-0.15482950317103444,-0.3505693460034511,0.07477076260410812,0.11056045875723633,-14.343879399600146,False,,,
__POOLED__,,cost,,,,,-0.19456840132763156,-0.3090311204450742,-0.08010568221018896,0.05839934648849113,-17.681013094920306,,8,2.601110515769653,0.0
