boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
14.0,-14.0,73.0,56.5,65.8,70.0,5,-1.7999999999999972,-4.0,turn_count,0.4633438825652174,-0.02735562310030391,-0.05714285714285714,68.5,58.5,64.0,66.0,5
789821.0,-902908.0,2523290.5,1627142.0,2067714.8,2037709.0,5,-52762.19999999995,-171889.0,total_tokens,0.9168149485280885,-0.025517155460704714,-0.0843540466278551,2418133.0,1686338.5,2014952.6,1865820.0,5
0.05762470000000003,-0.26458034999999996,0.52963865,0.3477688750000001,0.4346624800000001,0.41849735000000016,5,-0.06869918000000003,-0.06460925000000017,cost,0.34720763934942456,-0.15805178307545664,-0.1543838927534431,0.4266899500000001,0.31127425,0.36596330000000005,0.3538881,5
23.319999999999993,-129.971,318.145,218.9395,266.7758,259.71,5,-34.129200000000026,-30.25799999999998,duration_sec,0.25059205068568424,-0.12793214377016215,-0.11650687305071035,250.975,215.9155,232.64659999999998,229.452,5
14.0,-9.0,208.5,196.0,201.8,200.0,5,1.5999999999999943,7.0,patch_lines,0.5992863303677125,0.007928642220019794,0.035,209.5,195.5,203.4,207.0,5
0.0,0.0,3.0,3.0,3.0,3.0,5,0.0,0.0,files_touched,1.0,0.0,0.0,3.0,3.0,3.0,3.0,5
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_control],,,,,,,5,
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
