arm,instance,run_id,model,batch_id,turn_idx,cmd_idx,tool,command,output_chars,output_tokens_approx,returncode,is_error,qi_pure,qi_results,qi_miss_kind,qi_limit,qi_limit_per_file,qi_toc,qi_expand,qi_include,qi_exclude,qi_within,qi_and,qi_def,qi_usage,qi_raw,qi_parent,qi_file,qi_type,qi_modifier,qi_scope,qi_verbose,qi_dotted_name,qi_quoted_phrase,qi_abs_path
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,2,0,read,"find /app -type f -name ""*.py"" | head -30",1292,323,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,4,0,grep,"find /app -type f -path ""*/plugins/connection/*"" | grep -E ""\.py$""",1160,290,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,6,0,other,wc -l /app/lib/ansible/plugins/connection/ssh.py,93,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,8,0,grep,"grep -n ""_parse_clixml\|exec_command\|_STRING_DESERIAL_FIND"" /app/lib/ansible/plugins/connection/ssh.py | head -20",758,190,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,10,0,read,"sed -n '1,50p' /app/lib/ansible/plugins/connection/ssh.py",2593,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,12,0,read,"sed -n '1296,1350p' /app/lib/ansible/plugins/connection/ssh.py",2594,648,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,14,0,grep,"grep -n ""_parse_clixml\|_STRING_DESERIAL_FIND"" /app/lib/ansible/plugins/shell/powershell.py | head -20",265,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,16,0,read,"sed -n '25,100p' /app/lib/ansible/plugins/shell/powershell.py",3219,805,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,18,0,other,wc -l /app/test/units/plugins/connection/test_ssh.py,96,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,claude-haiku-4-5-20251001,pro_pilot_ansible2_haiku,20,0,grep,"grep -n ""def test.*clixml\|def test.*stderr"" /app/test/units/plugins/connection/test_ssh.py",45,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,
