model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source,outcome,task_success
claude-haiku-4-5-20251001,swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,Submitted,74,74,0.38503905000000005,2017422,58120,20287,2037709,0,1942608,26644,0,24,62,0,0,0,0,0,0,0,0.0,True,7188,193,3,191.7,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_control/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep01.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep02,Submitted,72,72,0.4408088500000001,2250586,63846,27267,2277853,0,2180081,25566,0,10,52,0,0,0,0,0,0,0,0.0,True,7430,200,3,207.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_control/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep02.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep03,Submitted,52,52,0.3104987000000001,1447206,50165,20430,1467636,0,1390442,21004,0,17,25,0,0,0,0,0,0,0,0.0,True,7282,199,3,162.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_control/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep03.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep04,Submitted,61,61,0.41849735000000016,1754470,63112,32178,1786648,0,1680711,22675,0,7,37,0,0,0,0,0,0,0,0.0,True,7658,209,3,204.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_control/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep04.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep05,Submitted,70,70,0.61846845,2721047,75546,47681,2768728,0,2622077,18886,0,15,61,0,0,0,0,0,0,0,0.0,True,7708,208,3,237.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_control/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep05.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep01,Submitted,66,66,0.4107161500000001,2237148,61140,22649,2259797,0,2172179,26615,4,18,40,1,0,0,0,4,0,0,0.0,True,7703,209,3,203.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_treatment/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep01.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep02,Submitted,57,57,0.3538881,1816633,56125,20852,1837485,0,1756706,24054,4,6,43,1,0,0,0,4,0,0,0.0,True,7644,210,3,185.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_treatment/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep02.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep03,Submitted,66,66,0.3182708999999999,1851569,50789,14251,1865820,0,1796944,25200,6,9,53,0,0,0,2,4,0,0,0.0,True,7443,200,3,174.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_treatment/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep03.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep04,Submitted,60,60,0.30427760000000004,1516827,49831,18365,1535192,0,1463146,20917,5,11,49,0,0,0,1,0,0,0,0.0,True,7202,191,3,168.5,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_treatment/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep04.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,rep05,Submitted,71,71,0.4426637500000001,2553745,61022,22724,2576469,0,2488840,25641,5,11,47,0,0,0,1,0,0,0,0.0,True,8179,207,3,207.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_ansible2_haiku/swebp_treatment/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59.rep05.traj.json,resolved,1
