model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source
claude-haiku-4-5-20251001,swebp_control,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep01,Submitted,65,65,0.26156470000000004,1522018,43215,9855,1531873,0,1467257,25855,0,25,55,0,0,0,0,0,0,0,0.0,True,20164,490,9,163.7,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_control/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep01.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep02,Submitted,86,86,0.36782865,2437918,50574,11092,2449010,0,2375769,32319,0,15,83,0,0,0,0,0,0,0,0.0,True,24075,578,9,198.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_control/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep02.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep03,Submitted,91,91,0.39051155,2677317,49506,11065,2688382,0,2616118,30806,0,14,83,0,0,0,0,0,0,0,0.0,True,24148,587,9,195.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_control/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep03.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep04,Submitted,73,73,0.3297875500000001,2076306,52060,10362,2086668,0,2012603,33721,0,13,72,0,0,0,0,0,0,0,0.0,True,23091,553,9,199.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_control/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep04.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep05,Submitted,73,73,0.30540560000000005,1933776,45887,9756,1943532,0,1876246,28540,0,14,61,0,0,0,0,0,0,0,0.0,True,20587,509,9,176.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_control/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep05.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep01,Submitted,60,60,0.30230185,1866389,53056,10898,1877287,0,1813156,32146,6,23,69,0,0,0,1,0,0,0,0.0,True,23615,563,9,199.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_treatment/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep01.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep02,Submitted,49,49,0.21416539999999998,1076244,45206,11866,1088110,0,1035159,23791,6,17,38,0,0,0,5,0,0,0,0.0,True,21401,519,9,168.4,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_treatment/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep02.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep03,Submitted,62,62,0.26882924999999996,1536754,47926,11975,1548729,0,1488645,25479,4,9,51,0,0,0,4,0,0,0,0.0,True,22497,534,9,178.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_treatment/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep03.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep04,Submitted,60,60,0.23397114999999993,1488779,39278,7953,1496732,0,1449324,22499,4,11,52,0,0,0,3,0,0,0,0.0,True,20402,502,9,151.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_treatment/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep04.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,rep05,Submitted,62,62,0.25773365,1541147,45300,10272,1551419,0,1495664,25876,4,10,60,0,0,0,3,0,0,0,0.0,True,21652,526,9,172.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_element3_haiku/swebp_treatment/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan/instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan.rep05.traj.json
