batch_id,model,arm,rep,instance_id,started_at,finished_at,duration_sec,exit_status,ok
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep01,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T07:11:05.022027+00:00,2026-07-04T07:23:46.694105+00:00,761.672,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep02,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T04:57:29.537336+00:00,2026-07-04T05:05:25.409919+00:00,475.873,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep03,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T05:31:12.704843+00:00,2026-07-04T05:42:17.550641+00:00,664.846,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep04,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T06:10:02.874578+00:00,2026-07-04T06:21:31.773436+00:00,688.899,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep05,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T06:33:38.247882+00:00,2026-07-04T06:45:16.746321+00:00,698.498,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep06,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T16:17:04.427168+00:00,2026-07-04T16:17:29.247897+00:00,24.821,EOFError,False
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep01,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T16:20:01.661932+00:00,2026-07-04T16:27:25.033336+00:00,443.371,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep02,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T08:21:24.615631+00:00,2026-07-04T08:31:48.656355+00:00,624.041,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep03,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T05:18:15.806191+00:00,2026-07-04T05:28:11.831602+00:00,596.025,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep04,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T05:59:48.743113+00:00,2026-07-04T06:07:08.969161+00:00,440.226,Submitted,True
pro_pilot_element3_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep05,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,2026-07-04T06:22:28.450135+00:00,2026-07-04T06:32:43.054218+00:00,614.604,Submitted,True
