boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
68.0,-107.0,169.0,92.5,126.0,107.0,5,-4.400000000000006,-4.0,turn_count,0.9168149485280885,-0.03492063492063496,-0.037383177570093455,162.5,90.0,121.6,103.0,5
5038169.0,-11015629.0,10454869.0,3811510.5,6567559.0,4305036.0,5,-1458991.4000000004,-681730.0,total_tokens,0.25059205068568424,-0.2221512437117048,-0.15835639934253742,7718667.0,3241099.0,5108567.6,3623306.0,5
0.5415643500000006,-1.2207425,1.3154826250000002,0.581550225,0.8836563400000002,0.624216,5,-0.1848245100000001,-0.08032214999999987,cost,0.25059205068568424,-0.20915881167106218,-0.128676852243454,0.9775879750000002,0.497544675,0.69883183,0.5438938500000001,5
192.68600000000004,-466.014,586.6255,243.4615,397.184,325.746,5,-43.075199999999995,22.777000000000044,duration_sec,0.7540225300620749,-0.10845149854979051,0.06992257771392449,452.669,258.3415,354.10880000000003,348.523,5
67.0,-222.0,462.0,328.5,386.2,350.0,5,-25.80000000000001,-8.0,patch_lines,0.9168149485280885,-0.06680476437079237,-0.022857142857142857,397.5,332.5,360.4,342.0,5
1.0,-6.0,12.0,9.0,10.2,9.0,5,-1.0,0.0,files_touched,0.8814974521910135,-0.09803921568627452,0.0,9.5,9.0,9.2,9.0,5
0.9637768390302125,0.3755282641185388,,,,4,5,,0.8,resolve_rate[swebp_control],,,,,,,5,
0.8823817688407467,0.23071993220883708,,,,3,5,,0.6,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
