model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source,outcome,task_success
claude-haiku-4-5-20251001,swebp_control,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep01,Submitted,91,91,0.5551697000000001,3653057,65603,21713,3674770,0,3580947,29299,0,41,71,0,0,0,0,0,0,0,0.0,True,10402,330,9,261.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_control/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep01.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep02,Submitted,94,94,0.624216,3918993,69707,29258,3948251,0,3842770,26325,0,65,73,0,0,0,0,0,0,0,0.0,True,11029,350,9,276.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_control/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep02.traj.json,unresolved,0
claude-haiku-4-5-20251001,swebp_control,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep03,Submitted,210,210,1.7646363500000002,14607071,120376,31864,14638935,0,14479831,64831,0,92,150,0,0,0,0,0,0,0,0.0,True,18871,564,15,493.5,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_control/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep03.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep04,Submitted,107,107,0.60793075,4285773,67078,19263,4305036,0,4212140,32605,0,53,155,0,0,0,0,0,0,0,0.0,True,11313,360,9,268.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_control/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep04.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_control,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep05,Submitted,128,128,0.8663289000000003,6241629,78557,29174,6270803,0,6156454,32624,0,76,67,0,0,0,0,0,0,0,0.0,True,10279,327,9,314.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_control/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep05.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep01,Submitted,85,85,0.4797841,2969961,63089,23013,2992974,0,2911016,27764,7,37,71,1,0,0,0,0,0,0,0.0,True,11672,378,9,267.5,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_treatment/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep01.traj.json,unresolved,0
claude-haiku-4-5-20251001,swebp_treatment,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep02,Submitted,95,95,0.5153052499999999,3469955,62358,19269,3489224,0,3407315,27632,9,29,71,1,0,0,0,0,0,0,0.0,True,10904,337,9,255.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_treatment/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep02.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep03,Submitted,175,175,1.1657803500000006,9314886,85935,28319,9343205,0,9234166,39876,10,26,155,1,0,0,4,3,0,0,0.0,True,10855,342,10,358.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_treatment/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep03.traj.json,unresolved,0
claude-haiku-4-5-20251001,swebp_treatment,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep04,Submitted,150,150,0.7893955999999998,6074646,73143,19483,6094129,0,6001056,34769,28,34,92,1,0,0,15,20,0,0,0.0,True,13167,417,9,301.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_treatment/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep04.traj.json,resolved,1
claude-haiku-4-5-20251001,swebp_treatment,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,rep05,Submitted,103,103,0.5438938500000001,3601455,64538,21851,3623306,0,3536611,27142,14,36,77,0,0,0,7,6,0,0,0.0,True,10304,328,9,267.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_nodebb_haiku/swebp_treatment/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan/instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan.rep05.traj.json,resolved,1
