boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
7.0,-9.0,32.5,26.0,29.0,28.0,5,-1.1999999999999993,-1.0,turn_count,0.5283593272709488,-0.041379310344827565,-0.03571428571428571,32.5,23.5,27.8,27.0,5
244339.0,-288120.0,620725.5,421939.0,509648.0,462911.0,5,-77994.0,-103715.0,total_tokens,0.34720763934942456,-0.15303503594637868,-0.22404954732119134,585578.0,313959.0,431654.0,359196.0,5
0.015525949999999983,-0.07452805000000004,0.16167330000000002,0.11784259999999999,0.13751942,0.1285653,5,-0.03480631000000002,-0.0359124,cost,0.0758001745823611,-0.2531010529276521,-0.2793319814911177,0.1273394,0.083116925,0.10271310999999998,0.0926529,5
10.896999999999991,-42.553,112.1875,83.6235,96.7154,91.955,5,-18.007000000000005,-18.876999999999995,duration_sec,0.11718508719813814,-0.18618544719868815,-0.20528519384481536,95.41999999999999,64.812,78.7084,73.078,5
2.0,-150.0,309.5,226.0,259.8,228.0,5,-33.60000000000002,-2.0,patch_lines,0.1048702909963326,-0.12933025404157053,-0.008771929824561403,226.5,226.0,226.2,226.0,5
0.0,-1.0,2.5,2.0,2.2,2.0,5,-0.20000000000000018,0.0,files_touched,0.31731050786291415,-0.09090909090909098,0.0,2.0,2.0,2.0,2.0,5
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_control],,,,,,,5,
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
