model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source
claude-haiku-4-5-20251001,swebp_control,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep01,Submitted,33,33,0.16262455000000003,605617,35660,10988,616605,0,563163,18680,0,7,25,0,0,0,0,0,0,0,0.0,True,8502,228,2,127.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_control/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep01.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep02,Submitted,32,32,0.16072204999999998,614466,35882,10380,624846,0,571793,19394,0,5,18,0,0,0,0,0,0,0,0.0,True,8264,224,2,128.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_control/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep02.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep03,Submitted,28,28,0.1285653,442818,30881,8534,451352,0,405158,16386,0,8,17,0,0,0,0,0,0,0,0.0,True,8351,228,2,108.7,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_control/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep03.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep04,Submitted,28,28,0.1278151,454324,31297,8587,462911,0,419186,17317,0,3,14,0,0,0,0,0,0,0,0.0,True,13288,376,3,114.3,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_control/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep04.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep05,Submitted,24,24,0.1078701,385034,29061,7492,392526,0,356456,16397,0,1,15,0,0,0,0,0,0,0,0.0,True,9080,243,2,106.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_control/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep05.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep01,Submitted,27,27,0.0926529,354117,24903,5079,359196,0,325649,13691,3,3,14,0,0,0,0,1,0,0,0.0,True,8300,227,2,95.4,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_treatment/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep01.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep02,Submitted,23,23,0.07813735,287418,23764,3774,291192,0,260101,13805,3,1,12,0,0,0,0,1,0,0,0.0,True,8294,226,2,90.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_treatment/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep02.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep03,Submitted,30,30,0.11058754999999998,456082,28853,7824,463906,0,432818,14704,3,3,17,0,0,0,0,1,0,0,0.0,True,8298,226,2,109.3,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_treatment/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep03.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep04,Submitted,35,35,0.14409124999999998,700248,38092,7002,707250,0,665505,22034,6,4,18,1,0,0,1,2,0,0,0.0,True,8294,226,2,137.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_treatment/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep04.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,rep05,Submitted,24,24,0.0880965,332050,24619,4676,336726,0,303875,13378,4,2,11,0,0,0,1,1,0,0,0.0,True,8211,226,2,91.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_openlibrary_haiku_v2/swebp_treatment/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4/instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4.rep05.traj.json
