batch_id,model,arm,rep,instance_id,started_at,finished_at,duration_sec,exit_status,ok
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_control,rep01,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:41:05.622665+00:00,2026-06-25T23:42:57.943489+00:00,112.321,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_control,rep02,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:46:18.096443+00:00,2026-06-25T23:48:10.150695+00:00,112.054,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_control,rep03,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:51:34.241029+00:00,2026-06-25T23:53:06.196153+00:00,91.955,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_control,rep04,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:58:01.629281+00:00,2026-06-25T23:59:30.382963+00:00,88.754,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_control,rep05,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-26T00:01:58.903368+00:00,2026-06-26T00:03:17.396038+00:00,78.493,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep01,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:37:49.251400+00:00,2026-06-25T23:38:59.019480+00:00,69.768,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep02,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:44:51.610066+00:00,2026-06-25T23:45:51.466281+00:00,59.856,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep03,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:48:54.646976+00:00,2026-06-25T23:50:25.836098+00:00,91.189,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep04,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-25T23:53:42.407633+00:00,2026-06-25T23:55:22.058597+00:00,99.651,Submitted,True
pro_pilot_openlibrary_haiku_v2,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep05,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,2026-06-26T00:00:01.349932+00:00,2026-06-26T00:01:14.427579+00:00,73.078,Submitted,True
