boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
37.0,-16.0,64.0,32.5,49.0,52.0,5,7.399999999999999,6.0,turn_count,0.6015081344405899,0.15102040816326529,0.11538461538461539,64.5,47.5,56.4,58.0,5
141911.0,-2919307.0,3463117.0,979187.5,2087479.8,1552790.0,5,-1230604.2000000002,-721698.0,total_tokens,0.11718508719813814,-0.5895166985567957,-0.4647750178710579,1007246.0,719397.0,856875.6,831092.0,5
-0.09574510000000011,-0.6603773500000001,0.779730425,0.27382095000000006,0.4807798200000001,0.2967963500000001,5,-0.3249636000000001,-0.1439501000000001,cost,0.00902343881808032,-0.6759094006899042,-0.48501304008624113,0.1800005,0.133116925,0.15581622,0.15284625,5
-45.47000000000003,-228.77900000000002,343.7125,186.304,252.0794,200.364,5,-124.3562,-78.298,duration_sec,0.00902343881808032,-0.49332154868664396,-0.39077878261563953,141.935,116.34,127.72319999999999,122.066,5
53.0,-24.0,212.0,157.5,188.8,205.0,5,6.799999999999983,-13.0,patch_lines,0.9168149485280885,0.036016949152542284,-0.06341463414634146,205.5,187.5,195.6,192.0,5
2.0,-2.0,6.0,3.5,5.0,6.0,5,0.20000000000000018,-1.0,files_touched,1.0,0.040000000000000036,-0.16666666666666666,6.0,4.5,5.2,5.0,5
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_control],,,,,,,5,
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
