model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source
claude-haiku-4-5-20251001,swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,Submitted,63,63,0.28100490000000006,1249259,46465,19935,1269194,0,1199494,19613,0,21,44,0,0,0,0,0,0,0,0.0,True,7748,208,6,161.4,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_control/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep01.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep02,Submitted,65,65,0.2967963500000001,1534990,44630,17800,1552790,0,1487056,19549,0,31,37,0,0,0,0,0,0,0,0.0,True,8060,216,6,157.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_control/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep02.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep03,Submitted,44,44,0.74623725,3107896,82068,67939,3175835,0,3024300,14138,0,6,27,0,0,0,0,0,0,0,0.0,True,6073,176,4,222.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_control/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep03.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep04,Submitted,52,52,0.8132236,3681528,86365,68871,3750399,0,3593611,18714,0,18,28,0,0,0,0,0,0,0,0.0,True,7648,205,6,274.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_control/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep04.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep05,Submitted,21,21,0.26663700000000007,658195,38761,30986,689181,0,617975,6862,0,4,12,0,0,0,0,0,0,0,0.0,True,4817,139,3,131.3,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_control/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep05.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,Submitted,58,58,0.14181680000000002,825888,26113,5204,831092,0,796243,13662,11,18,29,0,0,0,2,0,0,0,0.0,True,7788,210,6,101.7,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_treatment/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep01.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep02,Submitted,46,46,0.15284625,739888,35432,6993,746881,0,700960,18708,9,8,21,0,0,0,0,0,0,0,0.0,True,6203,184,4,124.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_treatment/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep02.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep03,Submitted,49,49,0.12441705,686646,27679,5267,691913,0,660303,14727,9,10,26,0,0,0,0,0,0,0,0.0,True,6959,192,5,104.0,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_treatment/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep03.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep04,Submitted,60,60,0.15894975,833772,32434,7018,840790,0,797800,16112,5,27,28,0,0,0,0,0,0,0,0.0,True,7444,201,6,117.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_treatment/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep04.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep05,Submitted,69,69,0.20105125,1165925,41681,7777,1173702,0,1125520,22829,7,21,43,0,0,0,0,0,0,0,0.0,True,6921,191,5,148.3,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_qutebrowser_haiku_v1/swebp_treatment/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c/instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c.rep05.traj.json
