model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source
claude-haiku-4-5-20251001,swebp_control,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep01,Submitted,60,60,0.23999925,1264431,36402,12567,1276998,0,1218185,14410,0,18,48,0,0,0,0,0,0,0,0.0,True,7436,243,3,131.4,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_control/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep01.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep02,Submitted,45,45,0.19047914999999996,891712,38204,9711,901423,0,843709,17174,0,20,34,0,0,0,0,0,0,0,0.0,True,6907,219,3,129.7,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_control/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep02.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep03,Submitted,64,64,0.26660069999999997,1520128,40656,14323,1534451,0,1480617,16453,0,27,51,0,0,0,0,0,0,0,0.0,True,7647,248,3,147.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_control/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep03.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep04,Submitted,62,62,0.22750505,1288639,38807,11560,1300199,0,1250983,16950,0,34,56,0,0,0,0,0,0,0,0.0,True,7879,244,3,136.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_control/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep04.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep05,Submitted,58,58,0.22396770000000005,1156262,34607,11938,1168200,0,1111817,13700,0,38,48,0,0,0,0,0,0,0,0.0,True,7443,243,3,125.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_control/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep05.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep01,Submitted,70,70,0.2413559,1426334,37597,9673,1436007,0,1380824,16396,8,9,53,0,0,0,0,4,0,0,0.0,True,6523,203,3,143.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_treatment/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep01.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep02,Submitted,54,54,0.16902835,918898,31280,6821,925719,0,879771,13837,9,6,37,0,0,0,1,4,0,0,0.0,True,7293,231,3,115.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_treatment/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep02.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep03,Submitted,53,53,0.17976104999999998,995389,34327,7901,1003290,0,958273,15436,9,5,39,0,0,0,0,5,0,0,0.0,True,7591,241,3,126.5,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_treatment/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep03.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep04,Submitted,68,68,0.21553535000000001,1244853,35603,9765,1254618,0,1206416,14402,8,15,45,1,0,0,0,4,0,0,0.0,True,7081,217,3,129.6,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_treatment/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep04.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,rep05,Submitted,61,61,0.194872,1120220,33729,7393,1127613,0,1078605,15202,8,7,46,0,0,0,0,4,0,0,0.0,True,7689,245,3,129.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_teleport3_haiku/swebp_treatment/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.rep05.traj.json
