boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
18.0,-31.0,118.0,99.5,110.0,115.0,5,-8.0,-14.0,turn_count,0.3457418258607272,-0.07272727272727272,-0.12173913043478261,118.5,86.0,102.0,101.0,5
893656.0,-2189212.0,5654071.0,4370913.5,5018356.0,5041811.0,5,-618807.4000000004,-557243.0,total_tokens,0.25059205068568424,-0.12330878877465058,-0.1105243730873688,5302259.0,3454328.5,4399548.6,4484568.0,5
0.6336059999999999,-1.261723949999999,3.2982218999999997,2.296496775,2.77432257,2.6821755,5,-0.43253132999999977,-0.08681550000000016,cost,0.11718508719813814,-0.15590520535613125,-0.032367568788843296,2.7539986499999998,1.80279945,2.34179124,2.59536,5
884.231,-666.996,1350.8654999999999,448.274,923.2162000000001,1017.802,5,37.483999999999924,-78.37200000000007,duration_sec,0.6015081344405899,0.040601540570886774,-0.07700122420667288,1180.819,751.2165,960.7002,939.43,5
9.0,-212.0,408.0,203.5,323.8,396.0,5,-119.60000000000002,-195.0,patch_lines,0.1424566973940986,-0.3693638048177888,-0.49242424242424243,214.0,196.0,204.2,201.0,5
0.0,0.0,9.0,9.0,9.0,9.0,5,0.0,0.0,files_touched,1.0,0.0,0.0,9.0,9.0,9.0,9.0,5
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_control],,,,,,,5,
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
