model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source,outcome,task_success
claude-sonnet-5,swebp_control,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep01,Submitted,115,115,2.9512382999999995,5712226,88412,62129,5774355,0,5623586,42462,0,44,79,0,0,0,0,0,0,0,0.0,True,13001,396,9,288.3,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_control/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep01.traj.json,resolved,1
claude-sonnet-5,swebp_control,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep02,Submitted,118,118,3.6452055000000003,5419156,86772,114631,5533787,0,5332150,41579,0,62,79,0,0,0,0,0,0,0,0.0,True,13079,406,9,293.9,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_control/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep02.traj.json,resolved,1
claude-sonnet-5,swebp_control,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep03,Submitted,91,91,1.961754,3910311,72096,35963,3946274,0,3838035,35168,0,34,70,0,0,0,0,0,1,0,0.0,True,7734,198,9,238.6,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_control/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep03.traj.json,resolved,1
claude-sonnet-5,swebp_control,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep04,Submitted,118,118,2.63123955,4983567,75907,58244,5041811,0,4907426,34889,0,62,72,0,0,0,0,0,0,0,0.0,True,13622,410,9,261.2,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_control/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep04.traj.json,resolved,1
claude-sonnet-5,swebp_control,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep05,Submitted,108,108,2.6821755,4728552,74788,67001,4795553,0,4653550,35896,0,52,75,0,0,0,0,0,2,0,0.0,True,8461,209,9,249.8,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_control/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep05.traj.json,resolved,1
claude-sonnet-5,swebp_treatment,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep01,Submitted,101,101,2.59536,4416305,71300,68263,4484568,0,4344805,33950,19,17,62,0,1,0,2,12,0,0,0.0,True,7713,198,9,239.7,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_treatment/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep01.traj.json,resolved,1
claude-sonnet-5,swebp_treatment,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep02,Submitted,85,85,1.9160845499999994,3544344,69665,40799,3585143,0,3474511,33216,18,20,64,1,0,0,8,6,0,0,0.0,True,8246,210,9,234.1,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_treatment/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep02.traj.json,resolved,1
claude-sonnet-5,swebp_treatment,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep03,Submitted,87,87,1.6895143500000005,3292058,66549,31456,3323514,0,3225337,30622,8,24,69,0,0,0,4,4,0,0,0.0,True,7893,201,9,218.8,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_treatment/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep03.traj.json,resolved,1
claude-sonnet-5,swebp_treatment,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep04,Submitted,126,126,2.6122380000000005,5723170,79230,41418,5764588,0,5643690,36598,22,30,76,1,0,0,0,17,1,0,0.0,True,8263,218,9,269.3,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_treatment/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep04.traj.json,resolved,1
claude-sonnet-5,swebp_treatment,instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,rep05,Submitted,111,111,2.8957592999999995,4759908,77352,80022,4839930,0,4682336,35484,17,36,69,0,0,0,4,10,0,0,0.0,True,7678,194,9,246.8,logs/anthropic--claude-sonnet-5/pro_pilot_tutanota2_sonnet5/swebp_treatment/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-fbdb72a2bd39b05131ff905780d9d4a2a074de26-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.rep05.traj.json,resolved,1
