boot_ci_hi,boot_ci_lo,control_iqr_hi,control_iqr_lo,control_mean,control_median,control_n,delta_mean,delta_median,metric,mwu_p,pct_change_mean,pct_change_median,treatment_iqr_hi,treatment_iqr_lo,treatment_mean,treatment_median,treatment_n
0.0,-31.0,94.0,72.5,82.6,80.0,5,-14.399999999999991,-11.0,turn_count,0.036145142046562384,-0.17433414043583526,-0.1375,74.5,61.5,68.2,69.0,5
131136.0,-1324873.0,2883333.0,1981734.0,2369745.4,2118593.0,5,-534302.3999999999,-145763.0,total_tokens,0.11718508719813814,-0.22546827182363133,-0.06880179439845217,2122855.5,1479337.0,1835443.0,1972830.0,5
-0.0017234500000001263,-0.19449275,0.4349126,0.31549265000000004,0.37233847000000003,0.36088185000000006,5,-0.08880751000000009,-0.058018599999999976,cost,0.028280122568276944,-0.23851285095520772,-0.1607689608108581,0.3220723999999999,0.23532337499999995,0.28353095999999994,0.3028632500000001,5
-5.6510000000000105,-70.22199999999998,265.873,219.6225,241.5384,236.701,5,-31.21119999999999,-24.710999999999984,duration_sec,0.028280122568276944,-0.129218376870924,-0.1043975310623951,220.3585,199.4645,210.3272,211.99,5
18.0,-64.0,524.0,480.5,501.8,500.0,5,-15.199999999999989,-20.0,patch_lines,0.34720763934942456,-0.030290952570745294,-0.04,504.5,472.0,486.6,480.0,5
2.0,-2.0,6.0,5.0,5.4,5.0,5,0.0,0.0,files_touched,1.0,0.0,0.0,6.0,5.0,5.4,5.0,5
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_control],,,,,,,5,
1.0,0.5655085052479191,,,,5,5,,1.0,resolve_rate[swebp_treatment],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_control],,,,,,,5,
0.43449149475208104,0.0,,,,0,5,,0.0,blowup_rate[swebp_treatment],,,,,,,5,
