model,arm,instance_id,run_id,exit_status,turn_count,api_calls,cost,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,qi_parent_calls,qi_dotted_name,qi_quoted_phrase,qi_abs_path,qi_verbose_calls,empty_content_turns,reasoning_recovered_turns,reasoning_recovered_rate,submitted,patch_chars,patch_lines,files_touched,log_size_kb,source
claude-haiku-4-5-20251001,swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,Submitted,97,97,0.45905004999999993,3005985,52342,17805,3023790,0,2943383,21113,0,39,76,0,0,0,0,0,0,0,0.0,True,20040,544,7,199.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_control/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep01.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep02,Submitted,71,71,0.36088185000000006,2101771,49932,16822,2118593,0,2041646,20288,0,38,52,0,0,0,0,0,0,0,0.0,True,17975,486,5,187.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_control/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep02.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep03,Submitted,91,91,0.4107751500000001,2728488,49356,14388,2742876,0,2668879,20654,0,33,77,0,0,0,0,0,0,0,0.0,True,18406,504,5,188.5,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_control/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep03.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep04,Submitted,74,74,0.3228488,2008166,44901,12243,2020409,0,1953063,19384,0,16,54,0,0,0,0,0,0,0,0.0,True,18402,500,5,168.8,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_control/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep04.traj.json
claude-haiku-4-5-20251001,swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep05,Submitted,80,80,0.3081365000000001,1931561,42005,11498,1943059,0,1879350,18871,0,43,44,0,0,0,0,0,0,0,0.0,True,17750,475,5,161.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_control/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep05.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,Submitted,71,71,0.26455729999999994,1688915,39537,10002,1698917,0,1649168,16348,5,39,57,1,0,0,1,0,0,0,0.0,True,18043,493,5,150.9,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_treatment/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep01.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep02,Submitted,78,78,0.33773174999999994,2236868,47171,12861,2249729,0,2193565,19328,4,39,43,1,0,0,1,2,0,0,0.0,True,19137,516,7,183.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_treatment/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep02.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep03,Submitted,57,57,0.20608944999999995,1251104,39998,8653,1259757,0,1218272,18066,11,24,50,0,0,0,1,6,0,0,0.0,True,17238,467,5,148.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_treatment/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep03.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep04,Submitted,66,66,0.30641304999999996,1961400,46042,11430,1972830,0,1915163,19347,10,23,50,6,0,0,2,0,0,0,0.0,True,17724,480,5,176.1,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_treatment/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep04.traj.json
claude-haiku-4-5-20251001,swebp_treatment,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep05,Submitted,69,69,0.3028632500000001,1985936,46832,10046,1995982,0,1938900,21080,10,12,44,1,0,0,2,7,0,0,0.0,True,17655,477,5,177.2,experiment/logs/anthropic--claude-haiku-4-5-20251001/pro_pilot_vuls2_haiku/swebp_treatment/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a/instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a.rep05.traj.json
