batch_id,model,arm,rep,instance_id,started_at,finished_at,duration_sec,exit_status,ok
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep01,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-03T23:31:09.201160+00:00,2026-07-03T23:35:51.413140+00:00,282.212,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep02,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-03T23:43:22.955160+00:00,2026-07-03T23:47:19.655871+00:00,236.701,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep03,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T00:03:51.536300+00:00,2026-07-04T00:08:01.069971+00:00,249.534,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep04,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T00:37:46.272866+00:00,2026-07-04T00:41:27.874785+00:00,221.602,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_control,rep05,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T01:59:39.238687+00:00,2026-07-04T02:03:16.881908+00:00,217.643,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep01,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-03T23:25:46.193837+00:00,2026-07-03T23:29:18.183615+00:00,211.99,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep02,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T02:08:55.717483+00:00,2026-07-04T02:12:44.442970+00:00,228.725,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep03,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T02:13:33.343024+00:00,2026-07-04T02:16:50.714885+00:00,197.372,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep04,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T00:43:05.937219+00:00,2026-07-04T00:46:37.929225+00:00,211.992,Submitted,True
pro_pilot_vuls2_haiku,anthropic/claude-haiku-4-5-20251001,swebp_treatment,rep05,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,2026-07-04T02:03:37.434919+00:00,2026-07-04T02:06:58.992001+00:00,201.557,Submitted,True
